prior,spearman_rho,ci95_lo,ci95_hi,p_value,n_pairs
Heuristic,0.6937686593250759,0.6606745475207149,0.72486198200237,8.619420386036086e-216,1500
BAD,0.533576416465105,0.4910194300427091,0.5746126055197,3.945905425169534e-111,1500
GOOD,-0.5042585490302972,-0.5458518881478304,-0.4643124532608575,1.4836351682763112e-97,1500
NoPrior,,,,,1500
