K,d_median_rand_minus_good,p_good_less_rand,p_good_less_bad
10,0.033906071794569836,0.21367765694890384,9.133589555477501e-05
25,0.12582519793743696,0.00969104194790372,9.000805670833668e-10
50,0.1634050033077824,3.330583173819121e-05,1.4296925925163214e-15
