,iter,idx,y,best_so_far,method,x1,x2,x3,x4,x5,seed
0,-3,122,41.898338317871094,41.898338317871094,random,60.34000015258789,26.06999969482422,6.5,2.309999942779541,4.869999885559082,25
1,-2,107,12.1899995803833,41.898338317871094,random,54.47999954223633,0.6499999761581421,0.5299999713897705,0.46000000834465027,43.88999938964844,25
2,-1,108,140.6999969482422,140.6999969482422,random,55.0,0.0,0.0,0.0,45.0,25
3,0,148,16.1299991607666,140.6999969482422,random,84.56999969482422,0.8999999761581421,0.6899999976158142,5.840000152587891,7.980000019073486,25
4,1,92,608.8699951171875,608.8699951171875,random,49.58000183105469,45.41999816894531,0.8899999856948853,2.25,1.9299999475479126,25
5,2,156,63.529998779296875,608.8699951171875,random,87.88999938964844,2.0,6.260000228881836,2.4200000762939453,1.3300000429153442,25
6,3,69,542.2999877929688,608.8699951171875,random,45.79999923706055,47.25,3.240000009536743,2.700000047683716,1.100000023841858,25
7,4,18,382.45001220703125,608.8699951171875,random,34.959999084472656,44.31999969482422,1.7999999523162842,14.010000228881836,4.960000038146973,25
8,5,28,390.2707824707031,608.8699951171875,random,39.61000061035156,48.06999969482422,7.510000228881836,1.9299999475479126,2.940000057220459,25
9,6,111,203.82000732421875,608.8699951171875,random,55.36000061035156,38.380001068115234,1.1299999952316284,4.150000095367432,1.0399999618530273,25
10,7,17,226.25,608.8699951171875,random,34.130001068115234,42.189998626708984,8.789999961853027,13.220000267028809,1.690000057220459,25
11,8,176,26.190000534057617,608.8699951171875,random,95.0,0.0,0.0,0.0,5.0,25
12,9,43,26.56999969482422,608.8699951171875,random,42.439998626708984,1.1100000143051147,1.4900000095367432,54.040000915527344,0.949999988079071,25
13,10,77,838.3099975585938,838.3099975585938,random,46.91999816894531,50.29999923706055,1.5299999713897705,0.03999999910593033,1.2300000190734863,25
14,11,96,619.9000244140625,838.3099975585938,random,50.63999938964844,48.290000915527344,0.23000000417232513,0.4399999976158142,0.4099999964237213,25
15,12,48,111.89497375488281,838.3099975585938,random,43.4900016784668,46.88999938964844,4.179999828338623,5.099999904632568,0.3700000047683716,25
16,13,124,52.47346496582031,838.3099975585938,random,66.02999877929688,30.010000228881836,2.609999895095825,0.23999999463558197,1.0800000429153442,25
17,14,94,716.39501953125,838.3099975585938,random,50.0,50.0,0.0,0.0,0.0,25
18,15,119,33.439998626708984,838.3099975585938,random,60.0,0.0,0.0,40.0,0.0,25
19,16,133,7.579999923706055,838.3099975585938,random,74.19000244140625,0.07000000029802322,24.760000228881836,0.17000000178813934,0.800000011920929,25
20,17,32,770.3499755859375,838.3099975585938,random,40.290000915527344,58.81999969482422,0.28999999165534973,0.4099999964237213,0.1899999976158142,25
21,18,33,703.3133544921875,838.3099975585938,random,40.66999816894531,59.2599983215332,0.03999999910593033,0.03999999910593033,0.07000000029802322,25
22,19,60,249.7550048828125,838.3099975585938,random,44.88999938964844,47.029998779296875,3.809999942779541,1.159999966621399,3.0999999046325684,25
23,-3,61,45.529998779296875,45.529998779296875,random,45.0,0.0,0.0,55.0,0.0,26
24,-2,6,17.889999389648438,45.529998779296875,random,18.739999771118164,0.17000000178813934,18.40999984741211,36.130001068115234,26.579999923706055,26
25,-1,11,34.349998474121094,45.529998779296875,random,19.84000015258789,1.059999942779541,28.700000762939453,33.619998931884766,16.75,26
26,0,88,618.719970703125,618.719970703125,random,48.720001220703125,49.779998779296875,0.44999998807907104,0.8299999833106995,0.23000000417232513,26
27,1,104,207.3800048828125,618.719970703125,random,53.65999984741211,38.5099983215332,1.5700000524520874,4.75,1.5800000429153442,26
28,2,151,18.25,618.719970703125,random,85.08000183105469,7.75,3.5,2.240000009536743,1.3600000143051147,26
29,3,43,26.56999969482422,618.719970703125,random,42.439998626708984,1.1100000143051147,1.4900000095367432,54.040000915527344,0.949999988079071,26
30,4,127,207.5800018310547,618.719970703125,random,68.94000244140625,26.790000915527344,0.6899999976158142,1.0299999713897705,2.569999933242798,26
31,5,19,328.33831787109375,618.719970703125,random,36.880001068115234,41.599998474121094,2.6700000762939453,1.850000023841858,16.989999771118164,26
32,6,18,382.45001220703125,618.719970703125,random,34.959999084472656,44.31999969482422,1.7999999523162842,14.010000228881836,4.960000038146973,26
33,7,103,271.55999755859375,618.719970703125,random,53.400001525878906,33.900001525878906,1.1799999475479126,11.34000015258789,0.25,26
34,8,168,13.550000190734863,618.719970703125,random,91.02999877929688,0.46000000834465027,1.9299999475479126,6.590000152587891,0.03999999910593033,26
35,9,136,13.1899995803833,618.719970703125,random,75.0,0.0,25.0,0.0,0.0,26
36,10,14,37.09000015258789,618.719970703125,random,30.0,0.0,0.0,70.0,0.0,26
37,11,48,111.89497375488281,618.719970703125,random,43.4900016784668,46.88999938964844,4.179999828338623,5.099999904632568,0.3700000047683716,26
38,12,132,7.199999809265137,618.719970703125,random,73.98999786376953,0.5,25.18000030517578,0.2800000011920929,0.03999999910593033,26
39,13,76,454.385009765625,618.719970703125,random,46.86000061035156,43.7400016784668,5.079999923706055,0.7799999713897705,3.609999895095825,26
40,14,173,9.020000457763672,618.719970703125,random,93.87000274658203,0.23999999463558197,0.5600000023841858,0.23999999463558197,5.110000133514404,26
41,15,163,24.010000228881836,618.719970703125,random,90.0,0.0,0.0,10.0,0.0,26
42,16,27,219.2550048828125,618.719970703125,random,39.04999923706055,41.849998474121094,5.75,4.039999961853027,9.399999618530273,26
43,17,33,703.3133544921875,703.3133544921875,random,40.66999816894531,59.2599983215332,0.03999999910593033,0.03999999910593033,0.07000000029802322,26
