,iter,idx,y,best_so_far,method,x1,x2,x3,x4,seed
0,-5,128,6.699999809265137,6.699999809265137,random,1.0,0.18000000715255737,38.0,6.699999809265137,12
1,-4,45,56.099998474121094,56.099998474121094,random,12.869999885559082,0.20000000298023224,53.0,6.599999904632568,12
2,-3,112,54.5,56.099998474121094,random,10.380000114440918,0.17000000178813934,50.0,9.899999618530273,12
3,-2,59,56.900001525878906,56.900001525878906,random,13.510000228881836,0.1899999976158142,51.0,7.0,12
4,-1,94,27.600000381469727,56.900001525878906,random,5.699999809265137,0.20000000298023224,31.0,6.099999904632568,12
5,0,18,5.099999904632568,56.900001525878906,random,1.0,0.17000000178813934,51.0,8.699999809265137,12
6,1,121,6.699999809265137,56.900001525878906,random,1.0,0.20000000298023224,35.0,7.5,12
7,2,70,44.099998474121094,56.900001525878906,random,10.350000381469727,0.20000000298023224,30.0,9.399999618530273,12
8,3,39,13.699999809265137,56.900001525878906,random,2.3299999237060547,0.20000000298023224,67.0,15.0,12
9,4,100,55.400001525878906,56.900001525878906,random,10.470000267028809,0.1899999976158142,55.0,5.400000095367432,12
10,5,117,47.5,56.900001525878906,random,8.699999809265137,0.20000000298023224,57.0,14.0,12
11,6,87,3.9000000953674316,56.900001525878906,random,1.0,0.20000000298023224,40.0,15.0,12
12,7,76,49.29999923706055,56.900001525878906,random,22.1200008392334,0.20000000298023224,70.0,5.0,12
13,8,91,36.70000076293945,56.900001525878906,random,11.510000228881836,0.20000000298023224,70.0,14.0,12
14,9,28,51.70000076293945,56.900001525878906,random,7.869999885559082,0.20000000298023224,56.0,6.800000190734863,12
15,10,16,2.700000047683716,56.900001525878906,random,1.0,0.1899999976158142,62.0,15.0,12
16,11,90,6.199999809265137,56.900001525878906,random,1.0,0.20000000298023224,58.0,5.199999809265137,12
17,12,120,53.099998474121094,56.900001525878906,random,13.649999618530273,0.20000000298023224,60.0,7.400000095367432,12
18,13,97,40.400001525878906,56.900001525878906,random,4.940000057220459,0.20000000298023224,44.0,7.900000095367432,12
19,14,124,38.599998474121094,56.900001525878906,random,12.1899995803833,0.18000000715255737,68.0,14.199999809265137,12
20,15,38,47.099998474121094,56.900001525878906,random,27.799999237060547,0.20000000298023224,68.0,6.199999809265137,12
21,16,110,55.0,56.900001525878906,random,11.520000457763672,0.20000000298023224,44.0,11.0,12
22,17,33,41.20000076293945,56.900001525878906,random,13.550000190734863,0.1899999976158142,32.0,5.599999904632568,12
23,18,25,17.399999618530273,56.900001525878906,random,3.2200000286102295,0.20000000298023224,63.0,15.0,12
24,19,49,12.300000190734863,56.900001525878906,random,2.299999952316284,0.1899999976158142,30.0,12.199999809265137,12
25,-5,39,13.699999809265137,13.699999809265137,random,2.3299999237060547,0.20000000298023224,67.0,15.0,13
26,-4,19,38.900001525878906,38.900001525878906,random,5.579999923706055,0.20000000298023224,41.0,11.5,13
27,-3,116,14.100000381469727,38.900001525878906,random,2.180000066757202,0.1899999976158142,55.0,6.099999904632568,13
28,-2,53,51.70000076293945,51.70000076293945,random,8.649999618530273,0.20000000298023224,57.0,8.100000381469727,13
29,-1,120,53.099998474121094,53.099998474121094,random,13.649999618530273,0.20000000298023224,60.0,7.400000095367432,13
30,0,46,38.29999923706055,53.099998474121094,random,10.239999771118164,0.1899999976158142,31.0,6.400000095367432,13
31,1,130,5.300000190734863,53.099998474121094,random,1.0,0.20000000298023224,33.0,8.300000190734863,13
32,2,104,8.0,53.099998474121094,random,1.0,0.20000000298023224,43.0,6.900000095367432,13
33,3,123,6.5,53.099998474121094,random,1.0,0.17000000178813934,35.0,11.899999618530273,13
34,4,55,49.29999923706055,53.099998474121094,random,13.430000305175781,0.18000000715255737,38.0,5.0,13
35,5,63,50.29999923706055,53.099998474121094,random,14.039999961853027,0.18000000715255737,59.0,10.899999618530273,13
36,6,61,53.20000076293945,53.20000076293945,random,15.550000190734863,0.20000000298023224,53.0,10.600000381469727,13
37,7,96,4.199999809265137,53.20000076293945,random,1.0,0.1899999976158142,57.0,7.900000095367432,13
38,8,95,29.0,53.20000076293945,random,3.809999942779541,0.1899999976158142,59.0,5.0,13
39,9,9,47.29999923706055,53.20000076293945,random,7.650000095367432,0.20000000298023224,61.0,9.600000381469727,13
40,10,64,29.200000762939453,53.20000076293945,random,40.400001525878906,0.20000000298023224,67.0,14.800000190734863,13
41,11,3,0.0,53.20000076293945,random,37.790000915527344,0.019999999552965164,42.0,9.0,13
42,12,101,53.099998474121094,53.20000076293945,random,17.290000915527344,0.20000000298023224,61.0,6.900000095367432,13
43,13,2,50.900001525878906,53.20000076293945,random,31.760000228881836,0.1599999964237213,49.0,14.5,13
44,14,57,55.599998474121094,55.599998474121094,random,12.010000228881836,0.20000000298023224,38.0,13.399999618530273,13
45,15,109,15.100000381469727,55.599998474121094,random,2.200000047683716,0.20000000298023224,52.0,7.099999904632568,13
46,16,70,44.099998474121094,55.599998474121094,random,10.350000381469727,0.20000000298023224,30.0,9.399999618530273,13
47,17,35,28.399999618530273,55.599998474121094,random,3.890000104904175,0.1899999976158142,49.0,6.300000190734863,13
48,18,37,53.900001525878906,55.599998474121094,random,9.479999542236328,0.20000000298023224,47.0,11.800000190734863,13
49,19,29,43.20000076293945,55.599998474121094,random,14.90999984741211,0.20000000298023224,67.0,11.600000381469727,13
50,-5,129,24.299999237060547,24.299999237060547,random,3.490000009536743,0.1899999976158142,57.0,8.800000190734863,14
51,-4,83,0.0,24.299999237060547,random,7.329999923706055,0.20000000298023224,49.0,12.600000381469727,14
52,-3,54,30.5,30.5,random,4.110000133514404,0.1899999976158142,63.0,10.600000381469727,14
53,-2,25,17.399999618530273,30.5,random,3.2200000286102295,0.20000000298023224,63.0,15.0,14
54,-1,90,6.199999809265137,30.5,random,1.0,0.20000000298023224,58.0,5.199999809265137,14
55,0,100,55.400001525878906,55.400001525878906,random,10.470000267028809,0.1899999976158142,55.0,5.400000095367432,14
56,1,114,25.399999618530273,55.400001525878906,random,3.690000057220459,0.20000000298023224,47.0,8.399999618530273,14
57,2,53,51.70000076293945,55.400001525878906,random,8.649999618530273,0.20000000298023224,57.0,8.100000381469727,14
58,3,21,26.200000762939453,55.400001525878906,random,4.510000228881836,0.20000000298023224,35.0,6.900000095367432,14
59,4,126,52.70000076293945,55.400001525878906,random,12.899999618530273,0.20000000298023224,57.0,9.699999809265137,14
60,5,19,38.900001525878906,55.400001525878906,random,5.579999923706055,0.20000000298023224,41.0,11.5,14
61,6,6,54.70000076293945,55.400001525878906,random,42.16999816894531,0.17000000178813934,34.0,8.100000381469727,14
62,7,124,38.599998474121094,55.400001525878906,random,12.1899995803833,0.18000000715255737,68.0,14.199999809265137,14
63,8,86,0.0,55.400001525878906,random,1.0,0.20000000298023224,57.0,13.800000190734863,14
64,9,52,55.900001525878906,55.900001525878906,random,18.579999923706055,0.1899999976158142,38.0,7.5,14
65,10,22,3.0999999046325684,55.900001525878906,random,1.0700000524520874,0.17000000178813934,70.0,5.300000190734863,14
66,11,59,56.900001525878906,56.900001525878906,random,13.510000228881836,0.1899999976158142,51.0,7.0,14
67,12,130,5.300000190734863,56.900001525878906,random,1.0,0.20000000298023224,33.0,8.300000190734863,14
68,13,7,44.0,56.900001525878906,random,7.769999980926514,0.18000000715255737,70.0,7.199999809265137,14
69,14,108,24.899999618530273,56.900001525878906,random,3.9100000858306885,0.20000000298023224,39.0,7.400000095367432,14
70,15,13,16.399999618530273,56.900001525878906,random,3.0299999713897705,0.20000000298023224,69.0,6.199999809265137,14
71,16,36,44.599998474121094,56.900001525878906,random,6.909999847412109,0.20000000298023224,30.0,15.0,14
72,17,4,29.299999237060547,56.900001525878906,random,3.8299999237060547,0.12999999523162842,65.0,7.599999904632568,14
73,18,91,36.70000076293945,56.900001525878906,random,11.510000228881836,0.20000000298023224,70.0,14.0,14
74,19,20,6.0,56.900001525878906,random,1.0,0.18000000715255737,45.0,7.300000190734863,14
75,-5,15,5.300000190734863,5.300000190734863,baseline_ei,1.149999976158142,0.1899999976158142,30.0,5.0,12
76,-4,1,3.299999952316284,5.300000190734863,baseline_ei,1.909999966621399,0.12999999523162842,30.0,5.199999809265137,12
77,-3,82,26.899999618530273,26.899999618530273,baseline_ei,6.139999866485596,0.1899999976158142,30.0,7.199999809265137,12
78,-2,69,33.29999923706055,33.29999923706055,baseline_ei,8.510000228881836,0.17000000178813934,30.0,5.900000095367432,12
79,-1,94,27.600000381469727,33.29999923706055,baseline_ei,5.699999809265137,0.20000000298023224,31.0,6.099999904632568,12
80,0,46,38.29999923706055,38.29999923706055,baseline_ei,10.239999771118164,0.1899999976158142,31.0,6.400000095367432,12
81,1,56,44.599998474121094,44.599998474121094,baseline_ei,10.9399995803833,0.20000000298023224,34.0,6.300000190734863,12
82,2,44,46.0,46.0,baseline_ei,9.359999656677246,0.20000000298023224,36.0,6.599999904632568,12
83,3,79,53.5,53.5,baseline_ei,12.039999961853027,0.20000000298023224,43.0,5.0,12
84,4,112,54.5,54.5,baseline_ei,10.380000114440918,0.17000000178813934,50.0,9.899999618530273,12
85,5,100,55.400001525878906,55.400001525878906,baseline_ei,10.470000267028809,0.1899999976158142,55.0,5.400000095367432,12
