,iter,idx,y,best_so_far,method,x1,x2,x3,x4,seed
0,-1,50,55.79999923706055,55.79999923706055,random,15.649999618530273,0.20000000298023224,45.0,13.5,231
1,0,49,12.300000190734863,55.79999923706055,random,2.299999952316284,0.1899999976158142,30.0,12.199999809265137,231
2,1,77,24.5,55.79999923706055,random,3.5299999713897705,0.20000000298023224,51.0,8.300000190734863,231
3,2,68,47.79999923706055,55.79999923706055,random,10.3100004196167,0.17000000178813934,35.0,6.900000095367432,231
4,3,100,55.400001525878906,55.79999923706055,random,10.470000267028809,0.1899999976158142,55.0,5.400000095367432,231
5,4,28,51.70000076293945,55.79999923706055,random,7.869999885559082,0.20000000298023224,56.0,6.800000190734863,231
6,5,75,52.29999923706055,55.79999923706055,random,7.75,0.1899999976158142,60.0,5.0,231
7,6,56,44.599998474121094,55.79999923706055,random,10.9399995803833,0.20000000298023224,34.0,6.300000190734863,231
8,7,8,39.79999923706055,55.79999923706055,random,7.159999847412109,0.1899999976158142,30.0,9.899999618530273,231
9,8,105,17.899999618530273,55.79999923706055,random,3.4200000762939453,0.20000000298023224,40.0,5.800000190734863,231
10,9,6,54.70000076293945,55.79999923706055,random,42.16999816894531,0.17000000178813934,34.0,8.100000381469727,231
11,10,111,5.599999904632568,55.79999923706055,random,1.0,0.1899999976158142,51.0,7.699999809265137,231
12,11,30,40.5,55.79999923706055,random,5.610000133514404,0.20000000298023224,58.0,14.199999809265137,231
13,12,79,53.5,55.79999923706055,random,12.039999961853027,0.20000000298023224,43.0,5.0,231
14,13,59,56.900001525878906,56.900001525878906,random,13.510000228881836,0.1899999976158142,51.0,7.0,231
15,14,101,53.099998474121094,56.900001525878906,random,17.290000915527344,0.20000000298023224,61.0,6.900000095367432,231
16,15,16,2.700000047683716,56.900001525878906,random,1.0,0.1899999976158142,62.0,15.0,231
17,16,17,39.20000076293945,56.900001525878906,random,9.460000038146973,0.15000000596046448,69.0,11.600000381469727,231
18,17,33,41.20000076293945,56.900001525878906,random,13.550000190734863,0.1899999976158142,32.0,5.599999904632568,231
19,18,18,5.099999904632568,56.900001525878906,random,1.0,0.17000000178813934,51.0,8.699999809265137,231
20,19,29,43.20000076293945,56.900001525878906,random,14.90999984741211,0.20000000298023224,67.0,11.600000381469727,231
21,-1,50,55.79999923706055,55.79999923706055,baseline_ei,15.649999618530273,0.20000000298023224,45.0,13.5,231
22,0,0,5.400000095367432,55.79999923706055,baseline_ei,1.2699999809265137,0.11999999731779099,37.0,12.899999618530273,231
23,1,1,3.299999952316284,55.79999923706055,baseline_ei,1.909999966621399,0.12999999523162842,30.0,5.199999809265137,231
24,2,2,50.900001525878906,55.79999923706055,baseline_ei,31.760000228881836,0.1599999964237213,49.0,14.5,231
25,3,3,0.0,55.79999923706055,baseline_ei,37.790000915527344,0.019999999552965164,42.0,9.0,231
26,4,4,29.299999237060547,55.79999923706055,baseline_ei,3.8299999237060547,0.12999999523162842,65.0,7.599999904632568,231
27,5,5,56.099998474121094,56.099998474121094,baseline_ei,41.189998626708984,0.12999999523162842,30.0,13.399999618530273,231
28,6,47,54.400001525878906,56.099998474121094,baseline_ei,41.77000045776367,0.1899999976158142,30.0,13.199999809265137,231
29,7,41,55.5,56.099998474121094,baseline_ei,11.039999961853027,0.1899999976158142,44.0,11.800000190734863,231
30,8,110,55.0,56.099998474121094,baseline_ei,11.520000457763672,0.20000000298023224,44.0,11.0,231
31,9,51,52.70000076293945,56.099998474121094,baseline_ei,9.430000305175781,0.20000000298023224,46.0,10.199999809265137,231
32,10,80,53.70000076293945,56.099998474121094,baseline_ei,8.710000038146973,0.18000000715255737,44.0,11.5,231
33,11,31,52.79999923706055,56.099998474121094,baseline_ei,16.729999542236328,0.14000000059604645,52.0,13.100000381469727,231
34,12,67,56.400001525878906,56.400001525878906,baseline_ei,16.75,0.1899999976158142,51.0,8.0,231
35,13,40,50.79999923706055,56.400001525878906,baseline_ei,43.56999969482422,0.20000000298023224,53.0,6.699999809265137,231
36,14,77,24.5,56.400001525878906,baseline_ei,3.5299999713897705,0.20000000298023224,51.0,8.300000190734863,231
37,15,66,48.900001525878906,56.400001525878906,baseline_ei,19.989999771118164,0.20000000298023224,59.0,12.699999809265137,231
38,16,38,47.099998474121094,56.400001525878906,baseline_ei,27.799999237060547,0.20000000298023224,68.0,6.199999809265137,231
39,17,63,50.29999923706055,56.400001525878906,baseline_ei,14.039999961853027,0.18000000715255737,59.0,10.899999618530273,231
40,18,20,6.0,56.400001525878906,baseline_ei,1.0,0.18000000715255737,45.0,7.300000190734863,231
